route_id,direction_id,stop_id,stop_sequence
L11,1,U515Z1P,1
L11,1,U118Z1P,2
L11,1,U616Z1P,3
L11,1,U209Z1P,4
L11,1,U850Z1P,5
L11,1,U191Z1P,6
L11,1,U400Z1P,7
L11,1,U190Z4P,8
L11,1,U45Z2P,9
L11,1,U560Z2P,10
L11,1,U504Z2P,11
L11,1,U482Z2P,12
L11,1,U152Z2P,13
L11,1,U559Z2P,14
L11,1,U376Z2P,15
L11,1,U550Z2P,16
L11,1,U183Z2P,17
L11,1,U751Z2P,18
L11,1,U697Z2P,19
L11,0,U697Z1P,1
L11,0,U751Z1P,2
L11,0,U183Z1P,3
L11,0,U550Z1P,4
L11,0,U376Z1P,5
L11,0,U559Z1P,6
L11,0,U152Z1P,7
L11,0,U482Z1P,8
L11,0,U504Z1P,9
L11,0,U560Z1P,10
L11,0,U45Z1P,11
L11,0,U190Z3P,12
L11,0,U400Z2P,13
L11,0,U191Z2P,14
L11,0,U850Z2P,15
L11,0,U209Z2P,16
L11,0,U616Z2P,17
L11,0,U118Z2P,18
L11,0,U515Z14P,19
L12,1,U532Z3P,1
L12,1,U532Z2P,2
L12,1,U115Z4P,3
L12,1,U521Z2P,4
L12,1,U81Z1P,5
L12,1,U81Z3P,6
L12,1,U595Z1P,7
L12,1,U100Z1P,8
L12,1,U717Z2P,9
L12,1,U231Z2P,10
L12,1,U324Z2P,11
L12,1,U262Z2P,12
L12,1,U692Z2P,13
L12,1,U187Z1P,14
L12,1,U360Z1P,15
L12,1,U361Z1P,16
L12,1,U138Z1P,17
L12,1,U809Z1P,18
L12,1,U481Z2P,19
L12,1,U4Z2P,20
L12,1,U1040Z4P,21
L12,1,U1040Z6P,22
L12,1,U553Z2P,23
L12,1,U458Z2P,24
L12,1,U337Z2P,25
L12,1,U914Z2P,26
L12,1,U147Z6P,27
L12,1,U49Z4P,28
L12,1,U1049Z4P,29
L12,1,U1050Z4P,30
L12,1,U1030Z2P,31
L12,1,U1019Z2P,32
L12,0,U1019Z1P,1
L12,0,U1030Z1P,2
L12,0,U1050Z3P,3
L12,0,U1049Z3P,4
L12,0,U49Z5P,5
L12,0,U147Z5P,6
L12,0,U914Z1P,7
L12,0,U337Z1P,8
L12,0,U458Z1P,9
L12,0,U553Z1P,10
L12,0,U1040Z5P,11
L12,0,U1040Z3P,12
L12,0,U4Z1P,13
L12,0,U481Z1P,14
L12,0,U809Z2P,15
L12,0,U138Z2P,16
L12,0,U361Z2P,17
L12,0,U360Z2P,18
L12,0,U187Z2P,19
L12,0,U692Z1P,20
L12,0,U324Z1P,21
L12,0,U231Z1P,22
L12,0,U717Z1P,23
L12,0,U100Z2P,24
